"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 29 14:15:58 PST 2021","Fri Jan 29 14:15:59 PST 2021","373","","E2E Tests - Login / Logout Functionalities","","E2E Tests - Login / Logout Functionalities","A user should be able to log out","A user should be able to log out",""
"passed","Fri Jan 29 14:15:47 PST 2021","Fri Jan 29 14:15:51 PST 2021","3784","","E2E Tests - Login / Logout Functionalities","","E2E Tests - Login / Logout Functionalities","A user can't log in with invalid username and password","A user can't log in with invalid username and password",""
"passed","Fri Jan 29 14:15:46 PST 2021","Fri Jan 29 14:15:47 PST 2021","1086","","E2E Tests - Login / Logout Functionalities","","E2E Tests - Login / Logout Functionalities","The color of page header should be black","The color of page header should be black",""
"passed","Fri Jan 29 14:15:51 PST 2021","Fri Jan 29 14:15:58 PST 2021","7207","","E2E Tests - Login / Logout Functionalities","","E2E Tests - Login / Logout Functionalities","A user can log in with valid username and password","A user can log in with valid username and password",""
